catalog,translation_key,archive,status,korean
core-ui-all.json,ceb5edec1018621dff9da2dc,,확정 판정 · 원본 글리프 보존,"ふつる{GLYPH:218}専物ふつる{GLYPH:218}やト
ダ敵も6壊るガあ
せ下使陽物陽な{GLYPH:230}
せ下{GLYPH:229}{GLYPH:230}陽物陽{GLYPH:230}{GLYPH:230}下"
core-ui-all.json,c85e806e961972bb7bc4d331,,확정 판정 · 원본 글리프 보존,"ふつる{GLYPH:218}や物ふつる{GLYPH:218}専ト
ダ敵も6壊るガあ
せ下使陽物陽な{GLYPH:230}
せ下{GLYPH:229}{GLYPH:230}陽物陽{GLYPH:230}{GLYPH:230}下"
core-ui-all.json,983cacf018a331a0a55c5b1e,,확정 판정 · 원본 글리프 보존,"ふつる{GLYPH:218}専物ふつる{GLYPH:218}やト
ダ敵も6壊るガあ
せ下使陽物陽な{GLYPH:230}
せ下{GLYPH:229}{GLYPH:230}陽物陽{GLYPH:230}{GLYPH:230}下"
core-ui-all.json,e4133f9162d22897272e4ddd,,확정 판정 · 원본 글리프 보존,"ふつる{GLYPH:218}や物ふつる{GLYPH:218}専ト
ダ敵も6壊るガあ
せ下使陽物陽な{GLYPH:230}
せ下{GLYPH:229}{GLYPH:230}陽物陽{GLYPH:230}{GLYPH:230}下"
core-ui-all.json,9086784ea811f393333827a0,,자체 검수,"[disc 교체]
[disc1]으로 교체해 주십시오"
core-ui-all.json,ecff4e77deef477e337784fd,,자체 검수,"[disc 교체]
[disc2]로 교체해 주십시오"
core-ui-all.json,9305bb23204d281e9dd094c7,,자체 검수,'데프 빅의 귀중한 CD' 클리어!
core-ui-all.json,da3d364a1bf289bb7a7b96cf,,자체 검수,"'무엇이든 듣는 약' 클리어!
설정 자료집 44를 받았다!
(책장에서 볼 수 있습니다)"
core-ui-all.json,37c71e1acb73d212c67e983f,,자체 검수,"피치 너트를 건넸다
'소중한 약속 2' 클리어!"
core-ui-all.json,f079694a8955b486667fba44,,자체 검수,"붉은 찻잎을 건넸다
'궁극의 찻잎을 찾아서 1' 클리어!"
core-ui-all.json,7a1bcb62113fe315b436f42e,,자체 검수,"노란 찻잎을 건넸다
'궁극의 찻잎을 찾아서 2' 클리어!"
core-ui-all.json,7830db97eccfa9b1a30e9a87,,자체 검수,"하늘색 찻잎을 건넸다
'궁극의 찻잎을 찾아서 3' 클리어!"
core-ui-all.json,5ce6eaa57c456eb85894f074,,자체 검수,"푸른 찻잎을 건넸다
'궁극의 찻잎을 찾아서 4' 클리어!"
core-ui-all.json,841e746ea9302730cfbcca94,,자체 검수,"보라색 찻잎을 건넸다
'궁극의 찻잎을 찾아서 5' 클리어!"
core-ui-all.json,666c45b035dc75ce99d1936e,,자체 검수,"흰 찻잎을 건넸다
'궁극의 찻잎을 찾아서 6' 클리어!"
core-ui-all.json,0956b58a0498c8fa0a9d5077,,자체 검수,"초록 찻잎을 건넸다
'궁극의 찻잎을 찾아서 7' 클리어!"
core-ui-all.json,d49b3009113fc688beff4bc1,,자체 검수,"비디오테이프 24를 받았다!
(텔레비전에서 볼 수 있습니다)"
core-ui-all.json,3ab51f971f594ccd7bac7d18,,자체 검수,'브렌다 리포트 1건째' 클리어!
core-ui-all.json,de0f5f95d880dcff61fb33d7,,자체 검수,'브렌다 리포트 2건째' 클리어!
core-ui-all.json,2f07d292d970f66da7bdfd63,,자체 검수,'브렌다 리포트 3건째' 클리어!
core-ui-all.json,aaef383ab1ae996e48551b9c,,자체 검수,'브렌다 리포트 4건째' 클리어!
core-ui-all.json,77526edd3b446d2e4d68adf2,,자체 검수,'브렌다 리포트 5건째' 클리어!
core-ui-all.json,0d437c4f0e39912f38ba18b3,,자체 검수,"비디오테이프 17을 받았다!
(텔레비전에서 볼 수 있습니다)"
core-ui-all.json,b86eaeb60a9571094c97622c,,자체 검수,'자아 찾기 퀴즈 아줌마 1' 클리어!
core-ui-all.json,65f14943580e253d33fee66e,,자체 검수,'자아 찾기 퀴즈 아줌마 2' 클리어!
core-ui-all.json,3bfc01445d7e1cc69412b7ab,,자체 검수,'자아 찾기 퀴즈 아줌마 3' 클리어!
core-ui-all.json,394e987197f31e761f317178,,자체 검수,'자아 찾기 퀴즈 아줌마 4' 클리어!
core-ui-all.json,ce4f1f31fdab8ae711346c9d,,자체 검수,'자아 찾기 퀴즈 아줌마 5' 클리어!
core-ui-all.json,0ad2d82241ead8ab833d1947,,자체 검수,'자아 찾기 퀴즈 아줌마 6' 클리어!
core-ui-all.json,c7d9eaa5fd3e67a7dcd2e3cf,,자체 검수,"설정 자료집 40을 받았다!
(책장에서 볼 수 있습니다)"
core-ui-all.json,da72d8a14c1d66b20103c443,,자체 검수,"아나는 가 버렸다
'아나의 야망 1' 클리어!"
core-ui-all.json,41563a1b64b801743ff872d6,,자체 검수,"아나는 가 버렸다
'아나의 야망 2' 클리어!"
core-ui-all.json,126419c4ae93bd62b704b421,,자체 검수,"[disc 교체]
[disc1]으로 교체해 주십시오"
core-ui-all.json,26c749f73bb820a26ac0d373,,자체 검수,"[disc 교체]
[disc2]로 교체해 주십시오"
core-ui-all.json,ad8498a73ca300cca05ba9a3,,자체 검수,"비디오테이프 24를 받았다!
(텔레비전에서 볼 수 있습니다)"
core-ui-all.json,6b831468580bcbcfd841eabf,,자체 검수,'브렌다 리포트 1건째' 클리어!
core-ui-all.json,df5ab70491d782e596fd1c63,,자체 검수,'브렌다 리포트 2건째' 클리어!
core-ui-all.json,ae53d330b9f70619b3e37c7d,,자체 검수,"비디오테이프 17을 받았다!
(텔레비전에서 볼 수 있습니다)"
core-ui-all.json,b51c553c59330b20dae9c82a,,자체 검수,EF-MD1991
core-ui-all.json,eb12050c701fd99839525d75,,자체 검수,EF-DC1998
core-ui-all.json,f0c2f082cc4e6e7fd1d9756f,,자체 검수,EF-XB2006
core-ui-all.json,04f99044fab12a2e743a3729,,자체 검수,열혈 EF-XB2006
core-ui-all.json,776a902b9a8fe6c7e74b0ef7,,자체 검수,응석받이 EF-XB2006
core-ui-all.json,d860dd176ad603bfb3407e48,,자체 검수,냉철한 EF-XB2006
core-ui-all.json,21808994851a58f9c98b53a4,,자체 검수,"'무엇이든 듣는 약' 클리어!
설정 자료집 44을 받았다!
(책장에서 볼 수 있습니다)"
core-ui-all.json,b8c82adc7bca2347fc5b3a2f,,자체 검수,"비디오테이프 24를 받았다!
(텔레비전에서 볼 수 있습니다)"
core-ui-all.json,fe61d8d72dfee84645e30aad,,자체 검수,"비디오테이프 17을 받았다!
(텔레비전에서 볼 수 있습니다)"
core-ui-all.json,95d52c2cdf8a92089d8ffa4b,,자체 검수,"설정 자료집 40을 받았다!
(책장에서 볼 수 있습니다)"
core-ui-all.json,11e6d3d8e46a2be5352683ce,,자체 검수,"아나는 가 버렸다
'아나의 야망 1' 클리어!"
core-ui-all.json,15829e83fef09ca07119010f,,자체 검수,"아나는 가 버렸다
'아나의 야망 2' 클리어!"
core-ui-all.json,1807e7ef4d4ac2647f1c61aa,,자체 검수,"비디오테이프 24를 받았다!
(텔레비전에서 볼 수 있습니다)"
core-ui-all.json,f9aeab92784b3fc80d481751,,자체 검수,"비디오테이프 17을 받았다!
(텔레비전에서 볼 수 있습니다)"
cutscenes-all.json,8530112db105b60c39242c12,evrt_m0_01_05,사용자 검수,"웬일로 순순히 인정하네
Dr. 에그맨"
cutscenes-all.json,22b648408204767892e911b6,evrt_m0_01_05,사용자 검수,"…제법이잖아
Dr. 에그맨!"
cutscenes-all.json,29d4a8d4d780de842dc63da4,evrt_m1_03_2,사용자 검수,"뭐, 조만간 Dr. 에그맨 녀석을 붙잡아서
어떻게든 하게 만들 거야"
cutscenes-all.json,c73937643a86150f5d2053d3,evrt_m1_03_2,사용자 검수,Dr. 에그맨의 짓이군!
cutscenes-all.json,fb910d1e6a1af07ecaed0562,evrt_m1_03_2,사용자 검수,"OK, 한번 다녀와 볼까!"
cutscenes-all.json,f2ac3af6815b0e00ef38c8d8,evrt_m2_01,사용자 검수,Dr. 에그맨의 짓이군!
cutscenes-all.json,e5081c6a620bbfc89ee79a0a,evrt_m2_01,사용자 검수,"OK, 한번 다녀와 볼까!"
cutscenes-all.json,4785c04bc1fe8a8979000916,evrt_m2_02,자체 검수,"샌드위치라면
빵 두께는 정확히 5밀리미터"
cutscenes-all.json,ccb1c9900f7c13112289f4ff,evrt_m2_03,사용자 검수,"아마 Dr. 에그맨이
억지로 깨웠기 때문이겠지요"
cutscenes-all.json,151043fa1fe662c9b5bd90c4,evrt_m3_02,사용자 검수,Dr. 에그맨!
cutscenes-all.json,e14252a13f8b6713f834bdd7,evrt_m3_03,사용자 검수,"그래서 Dr. 에그맨이
차지하려 했던 거구나"
cutscenes-all.json,98a8c59553b26dfbf728b350,evrt_m3_05,사용자 검수,Excellent!
cutscenes-all.json,41394968d6daabdfe1010d1f,evrt_m4_01,자체 검수,현재까지 완성도는 27퍼센트
cutscenes-all.json,72b475ae037a298ac50a35e0,evrt_m5_02,자체 검수,"7개 대륙 모두에서
'다크 가이아'의 활성화를 확인"
cutscenes-all.json,1d70519fdd5e80f9e91dc3ca,evrt_m5_02,사용자 검수,역시 세기의 천재 Dr. 에그맨 님!
cutscenes-all.json,8e3ec78c12db3d2dd9d9f1b7,evrt_m6_02,사용자 검수,Fantastic!
cutscenes-all.json,261837789180fc0cbc6e7687,evrt_m6_03,자체 검수,Hey!
cutscenes-all.json,cb8a0e30dc35fc1bce4c7e2c,evrt_m7_01,사용자 검수,"이 천재 Dr. 에그맨 님이
다크 가이아의 에너지를 이용해"
cutscenes-all.json,b1d2141c062edb87de1967bc,evrt_m7_01,사용자 검수,"OK, 화려하게 시작해 보자!"
cutscenes-all.json,e4c9fc5be159ad91f540976e,evrt_m8_02,사용자 검수,Dr. 에그맨!
cutscenes-all.json,f14e460473c769828feed0f0,evrt_m8_02,자체 검수,"울트라 하이퍼 프로토타입
1호다!"
cutscenes-all.json,ca7ffcc860309e7aae01f090,evrt_m8_04,자체 검수,"으으, 이렇게 된 이상
프로토타입 2호를…"
cutscenes-all.json,560f4a5ded62bf8439006aa6,evrt_m8_06_2,사용자 검수,"OK, Buddy!"
hint-all.json,e92b5a2d4fb93d4da1d7f0a5,EvilActionCommon,자체 검수,Oh no!
hint-all.json,8fd9fae57663c7bbdf2c9f27,ExStageTails_Common,자체 검수,What!? 저 녀석은 뭐야?
hint-all.json,f453f923c37249574560d7a8,SonicActionCommon,자체 검수,READY…
hint-all.json,674559aa205ae8d61b65b8d3,SonicActionCommon,자체 검수,GO!
hint-all.json,885d07e58ee11ea8299ca225,SonicActionCommon,자체 검수,"Ha! 늘 그렇듯
허세뿐이군!"
hint-all.json,2e75794b1f35a51d4b529a09,SonicActionCommon,자체 검수,"예상 밖의 전투력입니다
전투 모드 레벨 2로 이행합니다"
hint-all.json,8fd3c4e8011285572e116148,SonicActionCommon,자체 검수,"전투 모드 레벨 3으로 이행합니다
전력 공격에 들어갑니다"
hint-all.json,c78ec61df6f6ffcd4befd868,SonicActionCommon,자체 검수,"컨디션 옐로
전투 모드 레벨 2로 이행합니다"
hint-all.json,d0b0584db706ec8e6c8f3d08,SonicActionCommon,자체 검수,"컨디션 레드
전투 모드 레벨 3으로 이행합니다"
hint-all.json,019992580bc73c1763939026,Town_Africa_Common,자체 검수,"음~
3천 년 전의 맛이 나… 아마도"
